"","score","text"
"39",0,"RT @indizen_insight: #PredictionIO (#OpenSource Version) vs @Azure #MachineLearning http://t.co/vVkEGoN46y #datascience #bigdata via @kdnug…"
"40",1,"RT @KirkDBorne: R + Hadoop = RHadoop = Data #Analytics Heaven: http://t.co/vZsORX4JyQ #abdsc #DataScience #BigData #Rstats"
"41",1,"RT @Oliver_Klaus1: First White House Data Chief Discusses His Top Priorities http://t.co/PKtOWwPxML #datascience #BigData #infosec #giforum…"
"42",0,"Interested in using #netpromoter scores? This blog explains #datascience can tell you what factors drive your #NPS http://t.co/SVgcLWkcjv"
"43",1,"RT @Oliver_Klaus1: First White House Data Chief Discusses His Top Priorities http://t.co/PKtOWwPxML #datascience #BigData #infosec #giforum…"
"44",0,"RT @DaigoTanaka: #DataScience Doing NLP while changing newborn diaper every 2~3 hours is a new challenge for me. I'm new to both tasks &amp; th…"
"45",1,"RT @Oliver_Klaus1: First White House Data Chief Discusses His Top Priorities http://t.co/PKtOWwPxML #datascience #BigData #infosec #giforum…"
"46",-1,"RT @LovableDaily: Festo Unveils #3D-Printed #robotics Insects http://t.co/UxN8bf68YT #IoT #drones #DataScience #3dprinting http://t.co/RILN…"
"47",-1,"RT @LovableDaily: Festo Unveils #3D-Printed #robotics Insects http://t.co/UxN8bf68YT #IoT #drones #DataScience #3dprinting http://t.co/RILN…"
"48",1,"RT @Oliver_Klaus1: First White House Data Chief Discusses His Top Priorities http://t.co/PKtOWwPxML #datascience #BigData #infosec #giforum…"
"49",0,"RT @DaigoTanaka: #DataScience Doing NLP while changing newborn diaper every 2~3 hours is a new challenge for me. I'm new to both tasks &amp; th…"
"50",1,"RT @Oliver_Klaus1: First White House Data Chief Discusses His Top Priorities http://t.co/PKtOWwPxML #datascience #BigData #infosec #giforum…"
"51",1,"RT @Oliver_Klaus1: First White House Data Chief Discusses His Top Priorities http://t.co/PKtOWwPxML #datascience #BigData #infosec #giforum…"
"52",1,"First White House Data Chief Discusses His Top Priorities http://t.co/PKtOWwPxML #datascience #BigData #infosec #giforum @gulf_intel"
"53",1,"RT @mikepluta: Top #DataScience Story: @trifacta: '#DataDive in full effect @Trifacta HQ this … http://t.co/May2VX6Hb4, see more http://t.c…"
"54",0,"RT @DaigoTanaka: #DataScience Doing NLP while changing newborn diaper every 2~3 hours is a new challenge for me. I'm new to both tasks &amp; th…"
"55",0,"#DataScience Doing NLP while changing newborn diaper every 2~3 hours is a new challenge for me. I'm new to both tasks &amp; the combination of."
"56",-1,"RT @SidneyMinassian: The 7 Problems Data Scientists Don't Want to Solve #BigData #DataScience http://t.co/RM4wO0kQKP http://t.co/D1mOGG81cJ"
"57",0,"RT @indizen_insight: #PredictionIO (#OpenSource Version) vs @Azure #MachineLearning http://t.co/vVkEGoN46y #datascience #bigdata via @kdnug…"
"58",-1,"RT @LovableDaily: Festo Unveils #3D-Printed #robotics Insects http://t.co/UxN8bf68YT #IoT #drones #DataScience #3dprinting http://t.co/RILN…"
"59",0,"RT @KirkDBorne: R Tutorial for Beginners: A Quick Start-Up Kit http://t.co/LHwN4Ud5yw #abdsc #Rstats #DataScience via @DataScienceCtrl"
"60",0,"RT @indizen_insight: #PredictionIO (#OpenSource Version) vs @Azure #MachineLearning http://t.co/vVkEGoN46y #datascience #bigdata via @kdnug…"
"61",-1,"ellisatintel: RT JBBouzige: Selling #datascience: common language #bigdata #Cloud #IoT http://t.co/mMBnkOt2J3 http://t.co/697aEULzi3"
"62",0,"RT @R_Programming: Strategies to Speed Up R Code by http://t.co/yhguAcmq85
#rstats #DataScience #DataAnalytics 
http://t.co/krYSs1Se3x http…"
"63",-1,"RT @JBBouzige: Selling #datascience: common language #bigdata #Cloud #IoT http://t.co/st4Ln530Qq http://t.co/1aymUMnmXp"
"64",0,"From #neuroscience  to #DataScience  #neuromarketing  http://t.co/Nd45ruopO2"
"65",0,"RT @KirkDBorne: R Tutorial for Beginners: A Quick Start-Up Kit http://t.co/LHwN4Ud5yw #abdsc #Rstats #DataScience via @DataScienceCtrl"
"66",0,"RT @KirkDBorne: R Tutorial for Beginners: A Quick Start-Up Kit http://t.co/LHwN4Ud5yw #abdsc #Rstats #DataScience via @DataScienceCtrl"
"67",0,"RT @indizen_insight: #PredictionIO (#OpenSource Version) vs @Azure #MachineLearning http://t.co/vVkEGoN46y #datascience #bigdata via @kdnug…"
"68",-1,"RT @BigDataBlender: 5 Disruptive #BigData Use Cases in #Healthcare - http://t.co/CU583q2meq via @Flutura #Analytics #DataScience #Hadoop ht…"
"69",-1,"RT @BigDataBlender: 5 Disruptive #BigData Use Cases in #Healthcare - http://t.co/CU583q2meq via @Flutura #Analytics #DataScience #Hadoop ht…"
"70",0,"RT @stevndmills: Memory networks and their use for question answering http://t.co/84X1ilIphA #DataScience"
"71",0,"#PredictionIO (#OpenSource Version) vs @Azure #MachineLearning http://t.co/vVkEGoN46y #datascience #bigdata via @kdnuggets @mjcavaretta"
"72",1,"RT @AngelaZutavern: Wow! Shape shifting sensors can report from deep in the body http://t.co/W7U0Jac9LQ #datascience #bigdata http://t.co/S…"
"73",1,"RT @AngelaZutavern: Wow! Shape shifting sensors can report from deep in the body http://t.co/W7U0Jac9LQ #datascience #bigdata http://t.co/S…"
"74",1,"RT @AngelaZutavern: Wow! Shape shifting sensors can report from deep in the body http://t.co/W7U0Jac9LQ #datascience #bigdata http://t.co/S…"
"75",0,"RT @Morgan_Sacco: crowdsourcing/opensource research? this hasn't dawned on me but so obvious now #DataScience https://t.co/HzkEbyjdmd"
"76",2,"RT @mikepluta: Top #DataScience Story: First White House Data Chief Discusses His Top Prioriti… http://t.co/pGqaGXZhQm, see more http://t.c…"
"77",2,"RT @mikepluta: Top #DataScience Story: First White House Data Chief Discusses His Top Prioriti… http://t.co/pGqaGXZhQm, see more http://t.c…"
"78",0,"RT @MindAfterMath: The Gram-Schmidt Process and Orthogonal Vectors http://t.co/QlwX9cKb7C #compsci  #datascience #math #stem #mathchat"
"79",0,"RT @KirkDBorne: R Tutorial for Beginners: A Quick Start-Up Kit http://t.co/LHwN4Ud5yw #abdsc #Rstats #DataScience via @DataScienceCtrl"
"80",2,"RT @mikepluta: Top #DataScience Story: First White House Data Chief Discusses His Top Prioriti… http://t.co/pGqaGXZhQm, see more http://t.c…"
"81",2,"Top #DataScience Story: First White House Data Chief Discusses His Top Prioriti… http://t.co/pGqaGXZhQm, see more http://t.co/M8d5agCFhe"
"82",0,"RT @KirkDBorne: R Tutorial for Beginners: A Quick Start-Up Kit http://t.co/LHwN4Ud5yw #abdsc #Rstats #DataScience via @DataScienceCtrl"
"83",0,"RT @MindAfterMath: The Gram-Schmidt Process and Orthogonal Vectors http://t.co/QlwX9cKb7C #compsci  #datascience #math #stem #mathchat"
"84",0,"RT @KirkDBorne: R Tutorial for Beginners: A Quick Start-Up Kit http://t.co/LHwN4Ud5yw #abdsc #Rstats #DataScience via @DataScienceCtrl"
"85",0,"RT @KirkDBorne: R Tutorial for Beginners: A Quick Start-Up Kit http://t.co/LHwN4Ud5yw #abdsc #Rstats #DataScience via @DataScienceCtrl"
"86",-1,"RT @manuelalves_fr: RT @KirkDBorne: The 7 Problems #DataScientists Don't Want to Solve: http://t.co/43I31N4pMS http://t.co/PqV3kJdArh #BigD…"
"87",-1,"RT @manuelalves_fr: RT @KirkDBorne: The 7 Problems #DataScientists Don't Want to Solve: http://t.co/43I31N4pMS http://t.co/PqV3kJdArh #BigD…"
"88",0,"RT @MindAfterMath: The Gram-Schmidt Process and Orthogonal Vectors http://t.co/QlwX9cKb7C #compsci  #datascience #math #stem #mathchat"
"89",0,"RT @KirkDBorne: Predictive #Analytics using Oracle #DataMining book: http://t.co/nFzKI7XHAn #abdsc #BigData #DataScience http://t.co/PbQuoG…"
"90",-1,"RT @manuelalves_fr: RT @KirkDBorne: The 7 Problems #DataScientists Don't Want to Solve: http://t.co/43I31N4pMS http://t.co/PqV3kJdArh #BigD…"
"91",0,"The Gram-Schmidt Process and Orthogonal Vectors http://t.co/QlwX9cKb7C #compsci  #datascience #math #stem #mathchat"
"92",0,"RT @stevndmills: Memory networks and their use for question answering http://t.co/84X1ilIphA #DataScience"
"93",-1,"RT @manuelalves_fr: RT @KirkDBorne: The 7 Problems #DataScientists Don't Want to Solve: http://t.co/43I31N4pMS http://t.co/PqV3kJdArh #BigD…"
"94",-1,"RT @manuelalves_fr: RT @KirkDBorne: The 7 Problems #DataScientists Don't Want to Solve: http://t.co/43I31N4pMS http://t.co/PqV3kJdArh #BigD…"
"95",-1,"RT @manuelalves_fr: RT @KirkDBorne: The 7 Problems #DataScientists Don't Want to Solve: http://t.co/43I31N4pMS http://t.co/PqV3kJdArh #BigD…"
"96",0,"RT @KirkDBorne: Predictive #Analytics using Oracle #DataMining book: http://t.co/nFzKI7XHAn #abdsc #BigData #DataScience http://t.co/PbQuoG…"
"97",0,"RT @stevndmills: Memory networks and their use for question answering http://t.co/84X1ilIphA #DataScience"
"98",-1,"RT @manuelalves_fr: RT @KirkDBorne: The 7 Problems #DataScientists Don't Want to Solve: http://t.co/43I31N4pMS http://t.co/PqV3kJdArh #BigD…"
"99",-1,"RT @manuelalves_fr: RT @KirkDBorne: The 7 Problems #DataScientists Don't Want to Solve: http://t.co/43I31N4pMS http://t.co/PqV3kJdArh #BigD…"
"100",-1,"RT @manuelalves_fr: RT @KirkDBorne: The 7 Problems #DataScientists Don't Want to Solve: http://t.co/43I31N4pMS http://t.co/PqV3kJdArh #BigD…"
"101",0,"RT @stevndmills: Memory networks and their use for question answering http://t.co/84X1ilIphA #DataScience"
"102",0,"RT @ekimetrics: So you want to be #DataScientist? via http://t.co/kWd4TBsntv  #DataScience #BigData #Dataviz #MachinLearning #IoT #AI http:…"
"103",-1,"RT @manuelalves_fr: RT @KirkDBorne: The 7 Problems #DataScientists Don't Want to Solve: http://t.co/43I31N4pMS http://t.co/PqV3kJdArh #BigD…"
"104",-1,"RT @byod_news: EnventorsLab: RT JBBouzige: Selling #datascience: common language #bigdata #Cloud #IoT http://t.co/mMBnkOt2J3 http://t.co/69…"
"105",0,"RT @shobhitsharma12: #Volume vs #Value of #Data, Whr Size Does Matter ! #BigData #IoT #IoE #DataStrategy #DataScience #IT http://t.co/qBETh…"
"106",-1,"RT @byod_news: EnventorsLab: RT JBBouzige: Selling #datascience: common language #bigdata #Cloud #IoT http://t.co/mMBnkOt2J3 http://t.co/69…"
"107",-1,"RT @byod_news: EnventorsLab: RT JBBouzige: Selling #datascience: common language #bigdata #Cloud #IoT http://t.co/mMBnkOt2J3 http://t.co/69…"
"108",-1,"RT @KirkDBorne: The 7 Problems #DataScientists Don't Want to Solve: http://t.co/43I31N4pMS http://t.co/PqV3kJdArh #BigData #DataScience"
"109",0,"RT @ekimetrics: So you want to be #DataScientist? via http://t.co/kWd4TBsntv  #DataScience #BigData #Dataviz #MachinLearning #IoT #AI http:…"
"110",0,"RT @stevndmills: Memory networks and their use for question answering http://t.co/84X1ilIphA #DataScience"
"111",1,"RT @EnoCarlos: Great, great tool! Data Wrangling Cheat Sheet. #rstats #datascience #rstudio http://t.co/E5QJpApo8Z http://t.co/KWQu39BWe4"
"112",0,"RT @DistrictDataLab: Building data science teams: The power of the technology stack http://t.co/YPzNZ1iMiQ #DataScience #BigData"
"113",-1,"RT @BigDataBlender: 5 Disruptive #BigData Use Cases in #Healthcare - http://t.co/CU583q2meq via @Flutura #Analytics #DataScience #Hadoop ht…"
"114",0,"RT @AngelaZutavern: Hacker's guide to neural networks via @karpathy http://t.co/RfYJnDrodD H/T @joshdsullivan #datascience #deeplearning ht…"
"115",-1,"RT @BigDataBlender: 5 Disruptive #BigData Use Cases in #Healthcare - http://t.co/CU583q2meq via @Flutura #Analytics #DataScience #Hadoop ht…"
"116",0,"RT @DistrictDataLab: Building data science teams: The power of the technology stack http://t.co/YPzNZ1iMiQ #DataScience #BigData"
"117",0,"RT @DistrictDataLab: Building data science teams: The power of the technology stack http://t.co/YPzNZ1iMiQ #DataScience #BigData"
"118",-1,"RT @BigDataBlender: 5 Disruptive #BigData Use Cases in #Healthcare - http://t.co/CU583q2meq via @Flutura #Analytics #DataScience #Hadoop ht…"
"119",0,"RT @KirkDBorne: All things #DataViz related to the storytelling phase of #BigData: http://t.co/5MhewvOO8l #abdsc
Visual #Analytics #DataSci…"
"120",-1,"RT @JBBouzige: Selling #datascience: common language #bigdata #Cloud #IoT http://t.co/st4Ln530Qq http://t.co/1aymUMnmXp"
"121",0,"RT @AngelaZutavern: Hacker's guide to neural networks via @karpathy http://t.co/RfYJnDrodD H/T @joshdsullivan #datascience #deeplearning ht…"
"122",0,"RT @KirkDBorne: Predictive #Analytics using Oracle #DataMining book: http://t.co/nFzKI7XHAn #abdsc #BigData #DataScience http://t.co/PbQuoG…"
"123",-1,"RT @byod_news: aleson_es: RT JBBouzige: Selling #datascience: common language #bigdata #Cloud #IoT http://t.co/mMBnkOt2J3 http://t.co/697aE…"
"124",0,"RT @DataRobot: The growing #datascience ecosystem involves 3 key things: Getting, wrangling &amp; analyzing data. http://t.co/p1dzyeJB0h http:/…"
"125",-1,"RT @byod_news: aleson_es: RT JBBouzige: Selling #datascience: common language #bigdata #Cloud #IoT http://t.co/mMBnkOt2J3 http://t.co/697aE…"
"126",-1,"RT @byod_news: aleson_es: RT JBBouzige: Selling #datascience: common language #bigdata #Cloud #IoT http://t.co/mMBnkOt2J3 http://t.co/697aE…"
"127",-1,"RT @byod_news: aleson_es: RT JBBouzige: Selling #datascience: common language #bigdata #Cloud #IoT http://t.co/mMBnkOt2J3 http://t.co/697aE…"
"128",-1,"RT @byod_news: aleson_es: RT JBBouzige: Selling #datascience: common language #bigdata #Cloud #IoT http://t.co/mMBnkOt2J3 http://t.co/697aE…"
"129",1,"RT @MyNarmis: 4 easy steps to becoming a data scientist
http://t.co/Dddc6LXHqL
#data #analyst #datascientist #datascience #security http://…"
"130",0,"Outsourcing Communication Training Solutions For Your Business #datascience #data #growth  http://t.co/WCOY5wvHdM …"
"131",0,"RT @KirkDBorne: Predictive #Analytics using Oracle #DataMining book: http://t.co/nFzKI7XHAn #abdsc #BigData #DataScience http://t.co/PbQuoG…"
"132",1,"RT @MyNarmis: 4 easy steps to becoming a data scientist
http://t.co/Dddc6LXHqL
#data #analyst #datascientist #datascience #security http://…"
"133",-1,"RT @byod_news: EnventorsLab: RT JBBouzige: Selling #datascience: common language #bigdata #Cloud #IoT http://t.co/mMBnkOt2J3 http://t.co/69…"
"134",-1,"RT @byod_news: EnventorsLab: RT JBBouzige: Selling #datascience: common language #bigdata #Cloud #IoT http://t.co/mMBnkOt2J3 http://t.co/69…"
"135",-1,"RT @byod_news: aleson_es: RT JBBouzige: Selling #datascience: common language #bigdata #Cloud #IoT http://t.co/mMBnkOt2J3 http://t.co/697aE…"
"136",-1,"RT @byod_news: aleson_es: RT JBBouzige: Selling #datascience: common language #bigdata #Cloud #IoT http://t.co/mMBnkOt2J3 http://t.co/697aE…"
"137",0,"RT @SLHBENNETT: The history of #complexityscience. Puts #AI and #datascience in perspective.  http://t.co/19I7QL5eaK http://t.co/lKNT40b8DF"
"138",0,"RT @KirkDBorne: R Tutorial for Beginners: A Quick Start-Up Kit http://t.co/LHwN4Ud5yw #abdsc #Rstats #DataScience via @DataScienceCtrl"
"139",-1,"RT @byod_news: EnventorsLab: RT JBBouzige: Selling #datascience: common language #bigdata #Cloud #IoT http://t.co/mMBnkOt2J3 http://t.co/69…"
"140",0,"RT @KirkDBorne: Predictive #Analytics using Oracle #DataMining book: http://t.co/nFzKI7XHAn #abdsc #BigData #DataScience http://t.co/PbQuoG…"
"141",2,"RT @skrol: How to Transition from #Excel to R: An Intro to R for Microsoft Excel Users http://t.co/hXHJrIgZAm #DataScience  #rstats"
"142",0,"RT @SLHBENNETT: The history of #complexityscience. Puts #AI and #datascience in perspective.  http://t.co/19I7QL5eaK http://t.co/lKNT40b8DF"
"143",0,"RT @prokopp: Deep learning: Convolutional neural network learns and plays Atari games, and beats human players #datascience http://t.co/aAr…"
"144",-1,"RT @byod_news: EnventorsLab: RT JBBouzige: Selling #datascience: common language #bigdata #Cloud #IoT http://t.co/mMBnkOt2J3 http://t.co/69…"
"145",-1,"RT @byod_news: EnventorsLab: RT JBBouzige: Selling #datascience: common language #bigdata #Cloud #IoT http://t.co/mMBnkOt2J3 http://t.co/69…"
"146",-1,"RT @byod_news: aleson_es: RT JBBouzige: Selling #datascience: common language #bigdata #Cloud #IoT http://t.co/mMBnkOt2J3 http://t.co/697aE…"
"147",-1,"RT @byod_news: Data88Geek: RT JBBouzige: Selling #datascience: common language #bigdata #Cloud #IoT http://t.co/mMBnkOt2J3 http://t.co/697a…"
"148",-1,"RT @byod_news: EnventorsLab: RT JBBouzige: Selling #datascience: common language #bigdata #Cloud #IoT http://t.co/mMBnkOt2J3 http://t.co/69…"
"149",-1,"RT @byod_news: SengWeiland: RT JBBouzige: Selling #datascience: common language #bigdata #Cloud #IoT http://t.co/mMBnkOt2J3 http://t.co/697…"
"150",-1,"RT @byod_news: Data88Smart: RT JBBouzige: Selling #datascience: common language #bigdata #Cloud #IoT http://t.co/mMBnkOt2J3 http://t.co/697…"
"151",-1,"RT @byod_news: Data88Geek: RT JBBouzige: Selling #datascience: common language #bigdata #Cloud #IoT http://t.co/mMBnkOt2J3 http://t.co/697a…"
"152",-1,"Data88Geek: RT JBBouzige: Selling #datascience: common language #bigdata #Cloud #IoT http://t.co/mMBnkOt2J3 http://t.co/697aEULzi3"
"153",-1,"Data88Smart: RT JBBouzige: Selling #datascience: common language #bigdata #Cloud #IoT http://t.co/mMBnkOt2J3 http://t.co/697aEULzi3"
"154",-1,"SengWeiland: RT JBBouzige: Selling #datascience: common language #bigdata #Cloud #IoT http://t.co/mMBnkOt2J3 http://t.co/697aEULzi3"
"155",-1,"EnventorsLab: RT JBBouzige: Selling #datascience: common language #bigdata #Cloud #IoT http://t.co/mMBnkOt2J3 http://t.co/697aEULzi3"
"156",-1,"aleson_es: RT JBBouzige: Selling #datascience: common language #bigdata #Cloud #IoT http://t.co/mMBnkOt2J3 http://t.co/697aEULzi3"
"157",-1,"itknowingness: RT JBBouzige: Selling #datascience: common language #bigdata #Cloud #IoT http://t.co/mMBnkOt2J3 http://t.co/697aEULzi3"
"158",-1,"AlexFayman: RT JBBouzige: Selling #datascience: common language #bigdata #Cloud #IoT http://t.co/mMBnkOt2J3 http://t.co/697aEULzi3"
"159",0,"RT @KirkDBorne: R Tutorial for Beginners: A Quick Start-Up Kit http://t.co/LHwN4Ud5yw #abdsc #Rstats #DataScience via @DataScienceCtrl"
"160",0,"RT @KirkDBorne: R Tutorial for Beginners: A Quick Start-Up Kit http://t.co/LHwN4Ud5yw #abdsc #Rstats #DataScience via @DataScienceCtrl"
"161",0,"RT @SLHBENNETT: The history of #complexityscience. Puts #AI and #datascience in perspective.  http://t.co/19I7QL5eaK http://t.co/lKNT40b8DF"
"162",0,"RT @KirkDBorne: R Tutorial for Beginners: A Quick Start-Up Kit http://t.co/LHwN4Ud5yw #abdsc #Rstats #DataScience via @DataScienceCtrl"
"163",-1,"RT @JBBouzige: Selling #datascience: common language #bigdata #Cloud #IoT http://t.co/st4Ln530Qq http://t.co/1aymUMnmXp"
