"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"288","RT @_krisjack: Is #word2vec a glorified presentation of word counting? http://t.co/VP0L47WBGn #DataScience",FALSE,0,NA,2015-03-29 02:55:57,FALSE,NA,"582013294342459392",NA,"<a href=""https://twitter.com/download/android"" rel=""nofollow"">Twitter for Android Tablets</a>","icespinx11",4,TRUE,FALSE,NA,NA
"289","RT @CouthonConseil: #BigData &amp; #DataScience: What Does a #DataScientist Do? http://t.co/K44GZ2q9c2 http://t.co/JkpUeiuy8h",FALSE,0,NA,2015-03-29 02:55:51,FALSE,NA,"582013271189905408",NA,"<a href=""https://hijeffho.squarespace.com/"" rel=""nofollow"">Data Smart</a>","Data88Smart",8,TRUE,FALSE,NA,NA
"290","RT @RupenPaul: Follow the $$$: Networks &amp; Flows of Disaster Recovery Funding http://t.co/jiQgoGrGcW #DSSG #DataScience #SocialGood http://t…",FALSE,0,NA,2015-03-29 02:53:49,FALSE,NA,"582012759107244032",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","mitshah26",1,TRUE,FALSE,NA,NA
"291","RT @TopeDigiworks: RT NoSQLDigest: RT KirkDBorne: #DigitalMarketing is really about Behavioral #Analytics: http://t.co/kxGCUDmrye #BigData …",FALSE,0,NA,2015-03-29 02:51:19,FALSE,NA,"582012127365455872",NA,"<a href=""https://github.com/Jeff88Ho"" rel=""nofollow"">Financial Information Miner</a>","Jeff88Ho",1,TRUE,FALSE,NA,NA
"292","RT @TopeDigiworks: RT Jeff88Ho: RT KirkDBorne: #DigitalMarketing is really about Behavioral #Analytics: http://t.co/kxGCUDmrye #BigData #Da…",FALSE,0,NA,2015-03-29 02:51:18,FALSE,NA,"582012126614650880",NA,"<a href=""https://github.com/Jeff88Ho"" rel=""nofollow"">Financial Information Miner</a>","Jeff88Ho",1,TRUE,FALSE,NA,NA
"293","RT @APGuha: 3 paths to your first #dataanalytics job. http://t.co/QQxgKdYUHv @udacity http://t.co/GZJ87hQSSX #bigdata #DataScience #Machine…",FALSE,0,NA,2015-03-29 02:51:16,FALSE,NA,"582012118200905728",NA,"<a href=""https://github.com/Jeff88Ho"" rel=""nofollow"">Financial Information Miner</a>","Jeff88Ho",6,TRUE,FALSE,NA,NA
"294","RT @APGuha: 3 paths to your first #dataanalytics job. http://t.co/QQxgKdYUHv @udacity http://t.co/GZJ87hQSSX #bigdata #DataScience #Machine…",FALSE,0,NA,2015-03-29 02:50:45,FALSE,NA,"582011984650047488",NA,"<a href=""https://hijeffho.squarespace.com/"" rel=""nofollow"">Data Smart</a>","Data88Smart",6,TRUE,FALSE,NA,NA
"295","RT Jeff88Ho: RT KirkDBorne: #DigitalMarketing is really about Behavioral #Analytics: http://t.co/kxGCUDmrye #BigData #DataScience by SYNT…",FALSE,0,NA,2015-03-29 02:49:01,FALSE,NA,"582011551584018432",NA,"<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>","TopeDigiworks",1,FALSE,FALSE,NA,NA
"296","RT NoSQLDigest: RT KirkDBorne: #DigitalMarketing is really about Behavioral #Analytics: http://t.co/kxGCUDmrye #BigData #DataScience by S…",FALSE,1,NA,2015-03-29 02:49:00,FALSE,NA,"582011545523224576",NA,"<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>","TopeDigiworks",1,FALSE,FALSE,NA,NA
"297","3 paths to your first #dataanalytics job. http://t.co/QQxgKdYUHv @udacity http://t.co/GZJ87hQSSX #bigdata #DataScience #MachineLearning",FALSE,6,"udacity",2015-03-29 02:48:18,FALSE,"582009557838405632","582011370108923904","326912209","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","APGuha",6,FALSE,FALSE,NA,NA
